route_id,service_id,trip_id,trip_headsign,shape_id
V5-123-182,2531,4359555,Aeroport,44
V5-182-123,2531,4359989,Marítim,7
V5-123-182,2531,4359556,Aeroport,44
V5-182-123,2531,4359990,Marítim,7
V5-123-182,2531,4359557,Aeroport,44
V5-182-123,2531,4359991,Marítim,7
V5-123-182,2531,4359558,Aeroport,44
V5-182-123,2531,4359992,Marítim,7
V5-123-182,2531,4359559,Aeroport,44
V5-182-123,2531,4359993,Marítim,7
V5-123-182,2531,4359560,Aeroport,44
V5-182-123,2531,4359994,Marítim,7
V5-123-182,2531,4359561,Aeroport,44
V5-182-123,2531,4359995,Marítim,7
V5-123-182,2531,4359562,Aeroport,44
V5-182-123,2531,4359996,Marítim,7
V5-123-182,2531,4359563,Aeroport,44
V5-182-123,2531,4359997,Marítim,7
V5-123-182,2531,4359564,Aeroport,44
V5-182-123,2531,4359998,Marítim,7
V5-123-182,2531,4359565,Aeroport,44
V5-182-123,2531,4359999,Marítim,7
V5-123-182,2531,4359566,Aeroport,44
V5-182-123,2531,4360000,Marítim,7
V5-123-182,2531,4359567,Aeroport,44
V5-182-123,2531,4360001,Marítim,7
V5-123-182,2531,4359568,Aeroport,44
V5-182-123,2531,4360002,Marítim,7
V5-123-182,2531,4359569,Aeroport,44
V5-182-123,2531,4360003,Marítim,7
V5-123-182,2531,4359570,Aeroport,44
V5-182-123,2531,4360004,Marítim,7
V5-123-182,2531,4359571,Aeroport,44
V5-182-123,2531,4360005,Marítim,7
V5-123-182,2531,4359572,Aeroport,44
V5-182-123,2531,4360006,Marítim,7
V5-123-182,2531,4359573,Aeroport,44
V5-182-123,2531,4360007,Marítim,7
V5-123-182,2531,4359574,Aeroport,44
V5-182-123,2531,4360008,Marítim,7
V5-123-182,2531,4359575,Aeroport,44
V5-182-123,2531,4360009,Marítim,7
V5-123-182,2531,4359576,Aeroport,44
V5-182-123,2531,4360010,Marítim,7
V5-123-182,2531,4359577,Aeroport,44
V5-182-123,2531,4360011,Marítim,7
V5-123-182,2531,4359578,Aeroport,44
V5-182-123,2531,4360012,Marítim,7
V5-123-182,2531,4359579,Aeroport,44
V5-182-123,2531,4360013,Marítim,7
V5-123-182,2531,4359580,Aeroport,44
V5-182-123,2531,4360014,Marítim,7
V5-123-182,2531,4359581,Aeroport,44
V5-182-123,2531,4360015,Marítim,7
V5-123-182,2531,4359582,Aeroport,44
V5-182-123,2531,4360016,Marítim,7
V5-123-182,2531,4359583,Aeroport,44
V5-182-123,2531,4360017,Marítim,7
V5-123-182,2531,4359584,Aeroport,44
V5-182-123,2531,4360018,Marítim,7
V5-123-182,2531,4359585,Aeroport,44
V5-182-123,2531,4360019,Marítim,7
V5-123-182,2531,4359586,Aeroport,44
V5-182-123,2531,4360020,Marítim,7
V5-123-182,2531,4359587,Aeroport,44
V5-182-123,2531,4360021,Marítim,7
V5-123-182,2531,4359588,Aeroport,44
V5-182-123,2531,4360022,Marítim,7
V5-123-182,2531,4359589,Aeroport,44
V5-182-123,2531,4360023,Marítim,7
V5-123-182,2531,4359590,Aeroport,44
V5-182-66,2531,4360024,Machado,7
V5-123-182,2531,4359591,Aeroport,44
V5-182-123,2531,4360025,Marítim,7
V5-123-182,2531,4359592,Aeroport,44
V5-182-66,2531,4360026,Machado,7
V5-123-182,2531,4359593,Aeroport,44
V5-182-123,2531,4360027,Marítim,7
